powiat;wynagrodzenia;wsp_scholar;bezrobocie_rejestrowane;ilosc_samochod_os;apteki;podmioty_regon;prowadzacy_dzialanosc;wykrywalnosc_przestepstw;przestepstwa;przychodnie;rodziny_zastepcze
Powiat łódzki wschodni *;2689,61;87,68;12,6;564,6176046;0,331895121;15,71428571;89;70,2;24,19;3;1,255411255
Powiat pabianicki;2920,5;92,64;17,5;501,3235134;0,442477876;8,442095243;80;74,6;26,03;6;1,411190995
Powiat zgierski;3222,12;92,91;18,8;485,9687601;0,321957502;5,613711064;74;66,8;22,1;6;1,269767979
Powiat brzeziński *;2559,61;92,25;16,2;552,7199897;0,322997416;27,87827885;69;69,6;26,28;7;1,550587931
Powiat m.Łódź;3568,84;97,1;12;447,7870813;0,400641026;1,730277067;90;44,1;35,62;9;1,427061311
Powiat bełchatowski;5244,6;96,19;13,2;507,9921889;0,309214595;6,777234853;59;74,4;23,97;4;1,024979456
Powiat opoczyński;2930,75;96,46;17,3;461,2572539;0,255623722;7,170795306;43;76,3;20,97;3;0,715801314
Powiat piotrkowski;2804,34;94,34;13,6;482,2880245;0,196695515;6,206293706;47;69,3;23,7;3;1,11451049
Powiat radomszczański;2727,27;95,56;16,8;471,7789889;0,325097529;6,433894303;61;76,8;25,03;4;1,50580505
Powiat tomaszowski;2955,16;96,93;18,5;471,1462582;0,357142857;6,238422369;60;64,8;22,09;5;1,196182185
Powiat m.Piotrków Trybunalski;2741,58;95,95;13,1;440,9978535;0,431965443;12,76111198;75;69,3;23,7;7;1,505156798
Powiat łaski;2656,34;96,74;18,6;594,9339598;0,236910685;16,44587471;67;71,9;25,8;7;0,927918501
Powiat pajęczański;3107,48;95,99;14,4;497,8937381;0,303582271;13,16888046;56;77,2;17,49;4;0,607210626
Powiat poddębicki;3498,97;95,88;15,7;551,7060242;0,286532951;17,8601275;61;73,2;22,4;5;1,002841384
Powiat sieradzki;3004,55;95,85;13,4;527,1904327;0,298953662;5,921435097;55;76,2;22,39;4;1,137779254
Powiat wieluński;2778,75;96,87;12,6;493,5371358;0,346260388;10,60473943;64;84,2;25,47;6;0,846327452
Powiat wieruszowski;2620,86;97,39;11,4;572,290154;0,283848992;19,1811925;64;80,5;20,16;4;0,922400132
Powiat zduńskowolski;2832,65;96,54;15,6;512,4847702;0,205507604;13,21139703;71;77;26,17;5;1,453253674
Powiat kutnowski;3179,27;95,93;17,6;530,3675737;0,32615786;7,422635579;58;74,9;24,51;5;1,452899374
Powiat łęczycki;3216,88;96,67;15,3;559,0419392;0,346260388;11,81223548;46;77,6;19,38;7;1,096575606
Powiat łowicki;2947,82;98,2;10,8;523,1596822;0,347101701;8,874676186;56;81,4;27,85;5;1,053557927
Powiat rawski;3000,63;97,67;9,2;531,8874466;0,22172949;16,26622591;65;73,8;25,73;4;0,806256551
Powiat skierniewicki;2850,6;94,27;9,1;540,3387884;0,130497194;15,71268238;47;71,6;23,77;3;0,730822436
Powiat m.Skierniewice;2895,44;101,13;12,5;454,9543074;0,53390283;21,46010884;81;71,6;23,77;5;1,540199199
Powiat ciechanowski;3385,81;96,3;17,3;503,4906787;0,328839198;8,318446347;60;72,3;27,72;4;0,931578313
Powiat gostyniński;2925,45;91,47;23,2;596,7786905;0,2787845;14,77684603;55;76,2;14,87;3;0,793531645
Powiat mławski;2670,07;95,91;15,1;506,7589358;0,201572264;8,774522978;51;74,2;21,3;5;0,859983875
Powiat płocki;3223,08;88,77;21,1;663,9913428;0,162311313;5,293534133;47;68;20,57;3;0,793579223
Powiat płoński;3261,65;97,6;18,1;546,6778995;0,258331181;7,615838248;54;67,2;19,37;4;1,145745577
Powiat sierpecki;3043,46;95,66;25;717,29548;0,242836328;10,98244303;46;94,2;31,04;5;1,101979828
Powiat żuromiński;2923,14;95,85;23,3;509,6029777;0,223313979;15,98014888;54;82,3;13,67;4;0,545905707
Powiat m.Płock;4618,2;105,88;12,8;520,2180753;0,315457413;8,145469841;75;68;20,57;4;1,100083315
Powiat łosicki;3025,24;95,87;12,4;560,5732326;0,340483487;21,0474186;53;72,6;18,6;6;0,526185465
Powiat makowski;3010,45;94,53;25,6;557,0928346;0,234852043;15,77846101;60;82,4;23,18;5;0,747288411
Powiat ostrołęcki;3213,82;90,97;18,7;480,5191848;0,170794193;6,102698395;44;83,3;27,04;3;0,637595355
Powiat ostrowski;3174,79;97,09;18,2;491,8264487;0,239980802;10,88029014;67;69,5;27,6;4;0,613349689
Powiat przasnyski;3203,61;94,72;16,8;517,8561469;0,241662639;12,08380584;51;85,2;25,55;4;0,632075998
Powiat pułtuski;3094,05;98,7;23,3;542,7604055;0,311332503;14,4772431;60;78,2;27,61;5;1,011850324
Powiat siedlecki;3014,41;90,31;11,9;485,9748059;0,134264232;7,519164103;50;67,2;20,92;4;0,402812363
Powiat sokołowski;2974,75;95,14;11,6;503,8390445;0,213265089;12,21029433;54;85,4;23,61;4;0,515427271
Powiat węgrowski;2970,76;96,63;15,7;491,3902403;0,221141088;10,01031992;55;76,4;26,15;4;0,899307091
Powiat wyszkowski;3119,46;97,34;15,1;475,2292832;0,257400257;10,95953507;66;65,7;30,82;4;0,880555969
Powiat m.Ostrołęka;3776,11;104,28;15,7;386,7359769;0,469263257;20,3426727;84;83,3;27,04;10;0,825717342
Powiat m.Siedlce;3470,66;104,94;11,5;429,109997;0,431965443;13,88870708;80;67,2;20,92;7;0,837773094
Powiat białobrzeski;3355,88;94,42;17;621,17891;0,17771459;22,57109005;57;71,5;22,13;4;0,562796209
Powiat kozienicki;4239,66;95,37;19,1;547,699719;0,256937307;10,5018065;52;79,1;27,37;4;0,770774789
Powiat lipski;3098,37;96,02;17;565,139864;0,222866057;20,25521007;60;89,4;20,32;5;0,417920428
Powiat przysuski;3062,87;95,91;27,8;567,4239098;0,207986689;14,18964202;50;71,6;17,09;3;0,693304985
Powiat radomski;2857,68;90,73;30,3;449,9694693;0,172562554;4,387129317;55;69,4;23,75;2;0,696896488
Powiat szydłowiecki;2949,78;90,27;38;484,4726611;0,246062992;16,90535952;55;82,3;20,24;3;0,344505143
Powiat zwoleński;3114,68;94,49;21,9;561,2506407;0,215796288;14,37859128;44;76,7;18,98;2;0,647441258
Powiat m.Radom;3411,51;98,79;22,6;399,6213069;0,345901072;5,08868791;87;69,4;23,75;6;0,650878686
Powiat m. st. Warszawa *;5077,53;103,32;4,3;580,0484635;0,350877193;1,206633336;125;46,4;33,36;6;0,774693576
Powiat garwoliński;3277,05;96,99;14,5;499,6684839;0,322268772;6,031751879;54;82,7;20,21;4;0,543318108
Powiat legionowski;3600,74;97,3;14,7;464,7871944;0,318471338;12,61272739;110;67,4;26,87;4;1,210312224
Powiat miński *;3136,52;97,27;11,2;466,7593283;0,302114804;5,949143552;72;67;19,82;3;0,792323859
Powiat nowodworski;4145,35;95,56;13;586,9945481;0,280898876;11,69545843;71;70,5;31,57;3;1,110813192
Powiat otwocki;3490,03;97,08;9,9;491,1745657;0,319693095;9,928101199;95;64,6;23,14;3;0,541085615
Powiat wołomiński;3447,14;99,95;15,7;461,3059759;0,234852043;5,269105493;97;58,1;26,35;3;0,873014114
Powiat grodziski;3854,84;104,05;7,8;524,9260161;0,308546745;14,91104789;104;58,5;23,64;4;0,959791588
Powiat grójecki *;3589,76;99,13;8,6;644,5160832;0,314267756;8,637206898;65;62;28,42;4;0,932656144
Powiat piaseczyński *;3810,36;96,38;8,2;475,3248291;0,331455088;9,32311244;110;59,2;22,92;5;0,852398852
Powiat pruszkowski;4402,16;96,1;8;534,6189902;0,306091215;10,40769864;122;62,4;23,24;4;1,058626209
Powiat sochaczewski;3740,62;99,43;11,5;581,4095489;0,246609125;11,88323431;79;75,4;29,11;4;1,033324722
