,League,Season,Match_id,serie,date,Outcome,home_team_name,guest_team_name,frequency,home_team_position,guest_team_position,home_min_value,home_max_value,home_avg_value,home_median_value,away_min_value,away_max_value,away_avg_value,away_median_value,home_players_avg_age,home_players_median_age,home_players_std_age,home_players_under_21,home_players_above_30,away_players_avg_age,away_players_median_age,away_players_std_age,away_players_under_21,away_players_above_30,home_avg_scored,away_avg_scored,home_avg_lost,away_avg_lost,home_squad_diff,away_squad_diff,home_team_in_europe_last4days,guest_team_in_europe_last4days,guest_team_in_domestic_cup_last4days,home_team_in_domestic_cup_last4days,home_team_last_managerial_change,away_team_last_managerial_change,home_form_quantified_last5_matches,away_form_quantified_last5_matches,home_no_of_wins_in_last5,away_no_of_wins_in_last5,away_no_of_draws_in_last5,home_no_of_draws_in_last5,home_away_history_no_of_won_last5,away_home_history_no_of_won_last5
3682,ES1,2005,35966,2,2005-09-10 20:00:00,A,Real Madrid,Celta de Vigo,70000,8,1,2500000,33000000,17113636.363636363,13500000.0,0,7500000,1909090.9090909087,1300000.0,27.181818181818183,28.0,3.4298157915019813,1,1,26.45454545454545,26.0,2.6215886925159086,0,1,2.0,2.0,1.0,0.0,2.0,1.0,0,0,0,0,-1,-1,2.0,2.0,1,1,0,0,1,2
3683,ES1,2005,35962,2,2005-09-10 22:00:00,H,Real Betis Balompié,CA Osasuna,40000,11,9,450000,22000000,4731818.181818182,3500000.0,0,3600000,1072727.2727272727,600000.0,26.63636363636364,26.0,2.4196167991120943,0,1,25.363636363636363,25.0,4.410730716621165,3,2,0.0,2.0,1.0,1.0,2.0,3.0,0,0,0,0,-1,-1,0.0,2.0,0,1,0,0,4,0
3684,ES1,2005,35964,2,2005-09-10 22:00:00,H,Deportivo de La Coru?a,Atlético Madrid,24000,2,17,300000,17000000,6890909.090909091,6000000.0,0,25000000,6590909.090909091,6000000.0,29.0,29.0,3.2557641192199416,0,2,24.181818181818183,24.0,2.522624895547565,2,0,1.0,0.0,0.0,0.0,3.0,3.0,0,0,0,0,-1,-1,2.0,1.0,1,0,1,0,3,0
3685,ES1,2005,35968,2,2005-09-11 19:00:00,H,Real Sociedad,Deportivo Alavés,20370,13,16,0,6000000,2095454.5454545454,2000000.0,0,3000000,586363.6363636364,300000.0,26.54545454545455,26.0,3.503245248726853,1,2,27.63636363636364,27.0,3.042128441493793,0,2,0.0,0.0,3.0,0.0,2.0,0.0,0,0,0,0,-1,24,0.0,1.0,0,0,1,0,2,0
3686,ES1,2005,35963,2,2005-09-11 19:00:00,X,Getafe CF,Athletic Bilbao,13000,4,3,120000,4000000,1154090.9090909092,500000.0,0,7500000,2495454.5454545454,900000.0,27.0,28.0,3.2557641192199416,1,1,24.272727272727273,25.0,2.3276988246295565,2,0,2.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-1,2.0,2.0,1,1,0,0,1,1
3687,ES1,2005,37220,2,2005-09-11 19:00:00,X,Villarreal CF,Sevilla FC,18000,15,7,400000,15000000,4622727.2727272725,3500000.0,0,7500000,2609090.909090909,900000.0,26.09090909090909,26.0,3.7803318757629056,2,0,25.818181818181817,26.0,4.094341993976122,2,2,1.0,1.0,2.0,0.0,4.0,3.0,0,0,0,0,-1,-1,0.0,2.0,0,1,0,0,2,1
3688,ES1,2005,35961,2,2005-09-11 19:00:00,H,FC Barcelona,RCD Mallorca,71948,5,20,3500000,50000000,18704545.454545453,14750000.0,450000,3500000,2040909.0909090908,2000000.0,26.45454545454545,26.0,2.2962419891481978,0,0,25.181818181818183,25.0,3.092512952864768,2,0,0.0,0.0,0.0,1.0,1.0,2.0,0,0,0,0,-1,-1,1.0,0.0,0,0,0,1,2,3
3689,ES1,2005,35967,2,2005-09-11 19:00:00,A,Racing Santander,Cádiz CF,12800,18,10,0,2000000,636363.6363636364,400000.0,0,500000,45454.545454545456,0.0,24.72727272727273,24.0,3.9010488100229934,3,1,29.45454545454545,30.0,3.297381881542881,0,5,0.0,1.0,1.0,2.0,3.0,0.0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,0,0
3690,ES1,2005,35965,2,2005-09-11 21:00:00,A,Málaga CF,RCD Espanyol Barcelona,22000,19,12,0,6000000,1286363.6363636365,600000.0,0,8000000,2690909.090909091,2500000.0,27.181818181818183,30.0,3.7099375147886735,1,1,23.272727272727273,24.0,2.4936282437809,3,0,0.0,0.0,2.0,2.0,2.0,4.0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,4,1
3691,ES1,2005,37221,2,2005-09-11 21:00:00,X,Real Zaragoza,Valencia CF,32000,14,6,400000,12000000,3677272.727272727,2250000.0,800000,15000000,8663636.363636363,9500000.0,26.272727272727273,26.0,4.149479704514991,1,2,27.72727272727273,28.0,4.027180380636287,1,2,0.0,1.0,0.0,0.0,2.0,2.0,0,0,0,0,-1,-1,1.0,2.0,0,1,0,1,0,3
